,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Arr_Time_Min,Arr_Time_Hour,Dep_Time_Hour,Dep_Time_Min
0,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No info,3897,10,1.0,22,20
1,Air India,1/05/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,445,2,No info,7662,15,13.0,5,50
2,Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,1140,2,No info,13882,25,4.0,9,25
3,IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,325,1,No info,6218,30,23.0,18,5
4,IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,285,1,No info,13302,35,21.0,16,50
5,SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,145,0,No info,3873,25,11.0,9,0
6,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,930,1,In-flight meal not included,11087,25,10.0,18,55
7,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1265,1,No info,22270,5,5.0,8,0
8,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1530,1,In-flight meal not included,11087,25,10.0,8,55
9,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,470,1,No info,8625,15,19.0,11,25
10,Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,795,1,No info,8907,0,23.0,9,45
11,IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,155,0,No info,4174,55,22.0,20,20
12,Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,4667,55,13.0,11,40
13,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,730,1,In-flight meal not included,9663,20,9.0,21,10
14,IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,155,0,No info,4804,50,19.0,17,15
15,Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,1595,2,No info,14011,15,19.0,16,40
16,SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,270,1,No info,5830,15,13.0,8,45
17,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,1355,1,In-flight meal not included,10262,35,12.0,14,0
18,Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,1380,2,No info,13381,15,19.0,20,15
19,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,1235,1,In-flight meal not included,12898,35,12.0,16,0
20,GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,310,1,No info,19495,20,19.0,14,10
21,Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,920,1,No info,6955,20,13.0,22,0
22,IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,3943,50,6.0,4,0
23,IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,175,0,No info,4823,50,21.0,18,55
24,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,800,1,In-flight meal not included,7757,15,8.0,18,55
25,Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,910,2,No info,13292,35,12.0,21,25
26,IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,345,1,No info,8238,35,3.0,21,50
27,GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,355,1,No info,7682,55,12.0,7,0
28,Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,170,0,No info,4668,35,12.0,9,45
29,Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,3687,20,9.0,7,5
30,Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,3687,20,9.0,7,5
31,Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,805,2,No info,13227,15,23.0,9,50
32,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,4423,50,6.0,4,0
33,Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,1320,2,In-flight meal not included,10919,35,12.0,14,35
34,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,330,1,In-flight meal not included,12373,35,12.0,7,5
35,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,625,1,No info,5894,0,21.0,10,35
36,SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,315,1,No info,4649,20,20.0,15,5
37,Air India,18/05/2019,Kolkata,Banglore,CCU → BLR,150,0,No info,6245,45,16.0,14,15
38,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,375,1,No info,19225,15,13.0,7,0
39,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,715,1,No info,14924,0,19.0,7,5
40,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,665,1,No info,9646,10,18.0,7,5
41,Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,510,1,No info,8714,15,15.0,6,45
42,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,1325,1,In-flight meal not included,12373,0,19.0,20,55
43,Air Asia,6/05/2019,Banglore,Delhi,BLR → DEL,165,0,No info,3383,55,13.0,11,10
44,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,720,1,No info,13062,0,21.0,9,0
45,SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No check-in baggage included,3527,35,8.0,5,45
46,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,170,0,No info,3943,50,6.0,4,0
47,Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,4667,55,13.0,11,40
48,Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,965,1,No info,6117,5,11.0,19,0
49,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,In-flight meal not included,11150,0,19.0,23,5
50,Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,195,0,In-flight meal not included,7202,15,14.0,11,0
51,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,1520,1,No info,12121,55,10.0,9,35
