Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Arr_Time_Min,Arr_Time_Hour,Dep_Time_Hour,Dep_Time_Min,Day_of_Journey,Month_of_Journey
IndiGo,Banglore,New Delhi,170,0,No info,3897,10,1.0,22,20,24,3
Air India,Kolkata,Banglore,445,2,No info,7662,15,13.0,5,50,1,5
Jet Airways,Delhi,Cochin,1140,2,No info,13882,25,4.0,9,25,9,6
IndiGo,Kolkata,Banglore,325,1,No info,6218,30,23.0,18,5,12,5
IndiGo,Banglore,New Delhi,285,1,No info,13302,35,21.0,16,50,1,3
SpiceJet,Kolkata,Banglore,145,0,No info,3873,25,11.0,9,0,24,6
Jet Airways,Banglore,New Delhi,930,1,In-flight meal not included,11087,25,10.0,18,55,12,3
Jet Airways,Banglore,New Delhi,1265,1,No info,22270,5,5.0,8,0,1,3
Jet Airways,Banglore,New Delhi,1530,1,In-flight meal not included,11087,25,10.0,8,55,12,3
Multiple carriers,Delhi,Cochin,470,1,No info,8625,15,19.0,11,25,27,5
Air India,Delhi,Cochin,795,1,No info,8907,0,23.0,9,45,1,6
IndiGo,Kolkata,Banglore,155,0,No info,4174,55,22.0,20,20,18,4
Air India,Chennai,Kolkata,135,0,No info,4667,55,13.0,11,40,24,6
Jet Airways,Kolkata,Banglore,730,1,In-flight meal not included,9663,20,9.0,21,10,9,5
IndiGo,Kolkata,Banglore,155,0,No info,4804,50,19.0,17,15,24,4
Air India,Delhi,Cochin,1595,2,No info,14011,15,19.0,16,40,3,3
SpiceJet,Delhi,Cochin,270,1,No info,5830,15,13.0,8,45,15,4
Jet Airways,Delhi,Cochin,1355,1,In-flight meal not included,10262,35,12.0,14,0,12,6
Air India,Delhi,Cochin,1380,2,No info,13381,15,19.0,20,15,12,6
Jet Airways,Delhi,Cochin,1235,1,In-flight meal not included,12898,35,12.0,16,0,27,5
GoAir,Delhi,Cochin,310,1,No info,19495,20,19.0,14,10,6,3
Air India,Banglore,New Delhi,920,1,No info,6955,20,13.0,22,0,21,3
IndiGo,Banglore,Delhi,170,0,No info,3943,50,6.0,4,0,3,4
IndiGo,Banglore,Delhi,175,0,No info,4823,50,21.0,18,55,1,5
Jet Airways,Kolkata,Banglore,800,1,In-flight meal not included,7757,15,8.0,18,55,6,5
Jet Airways,Delhi,Cochin,910,2,No info,13292,35,12.0,21,25,9,6
IndiGo,Delhi,Cochin,345,1,No info,8238,35,3.0,21,50,1,6
GoAir,Delhi,Cochin,355,1,No info,7682,55,12.0,7,0,15,5
Vistara,Banglore,Delhi,170,0,No info,4668,35,12.0,9,45,18,6
Vistara,Chennai,Kolkata,135,0,No info,3687,20,9.0,7,5,15,6
Vistara,Chennai,Kolkata,135,0,No info,3687,20,9.0,7,5,18,6
Air India,Kolkata,Banglore,805,2,No info,13227,15,23.0,9,50,1,5
IndiGo,Banglore,Delhi,170,0,No info,4423,50,6.0,4,0,6,4
Jet Airways,Delhi,Cochin,1320,2,In-flight meal not included,10919,35,12.0,14,35,15,6
Jet Airways,Delhi,Cochin,330,1,In-flight meal not included,12373,35,12.0,7,5,18,5
IndiGo,Delhi,Cochin,625,1,No info,5894,0,21.0,10,35,27,6
SpiceJet,Kolkata,Banglore,315,1,No info,4649,20,20.0,15,5,21,5
Air India,Kolkata,Banglore,150,0,No info,6245,45,16.0,14,15,18,5
Jet Airways,Banglore,New Delhi,375,1,No info,19225,15,13.0,7,0,6,3
Jet Airways,Delhi,Cochin,715,1,No info,14924,0,19.0,7,5,3,6
Multiple carriers,Delhi,Cochin,665,1,No info,9646,10,18.0,7,5,21,5
Air India,Banglore,New Delhi,510,1,No info,8714,15,15.0,6,45,15,3
Jet Airways,Delhi,Cochin,1325,1,In-flight meal not included,12373,0,19.0,20,55,18,5
Air Asia,Banglore,Delhi,165,0,No info,3383,55,13.0,11,10,6,5
Multiple carriers,Delhi,Cochin,720,1,No info,13062,0,21.0,9,0,21,3
SpiceJet,Banglore,New Delhi,170,0,No check-in baggage included,3527,35,8.0,5,45,24,3
IndiGo,Banglore,Delhi,170,0,No info,3943,50,6.0,4,0,27,5
Air India,Chennai,Kolkata,135,0,No info,4667,55,13.0,11,40,3,5
Air India,Kolkata,Banglore,965,1,No info,6117,5,11.0,19,0,15,5
Jet Airways,Delhi,Cochin,1195,2,In-flight meal not included,11150,0,19.0,23,5,27,6
Jet Airways,Delhi,Cochin,195,0,In-flight meal not included,7202,15,14.0,11,0,9,3
Jet Airways,Kolkata,Banglore,1520,1,No info,12121,55,10.0,9,35,1,5
IndiGo,Banglore,New Delhi,170,0,No info,4377,10,1.0,22,20,24,3
IndiGo,Banglore,Delhi,180,0,No info,3943,15,0.0,21,15,18,6
Air Asia,Banglore,Delhi,170,0,No info,4483,45,2.0,23,55,3,4
Jet Airways,Kolkata,Banglore,975,1,No info,14231,0,12.0,19,45,24,3
Air India,Banglore,New Delhi,905,2,No info,17345,55,23.0,8,50,1,3
Vistara,Chennai,Kolkata,135,0,No info,7414,20,9.0,7,5,6,3
Multiple carriers,Delhi,Cochin,390,1,No info,8073,30,1.0,19,0,6,5
Vistara,Mumbai,Hyderabad,1505,1,No info,12395,45,16.0,15,40,6,3
Air India,Kolkata,Banglore,745,1,No info,8366,50,21.0,9,25,6,6
Air India,Delhi,Cochin,1640,1,No info,5117,25,9.0,6,5,3,4
Multiple carriers,Delhi,Cochin,615,1,No info,12524,0,19.0,8,45,3,6
IndiGo,Delhi,Cochin,630,1,No info,7191,30,1.0,15,0,15,5
Vistara,Chennai,Kolkata,135,0,No info,3687,20,9.0,7,5,24,5
IndiGo,Delhi,Cochin,625,1,No info,5894,0,21.0,10,35,24,6
Vistara,Banglore,Delhi,170,0,No info,5403,35,12.0,9,45,24,4
Air India,Mumbai,Hyderabad,90,0,No info,3625,25,15.0,13,55,6,5
Air India,Delhi,Cochin,800,2,No info,10861,15,19.0,5,55,21,5
IndiGo,Chennai,Kolkata,135,0,No info,6297,35,15.0,13,20,12,3
Jet Airways,Mumbai,Hyderabad,85,0,No info,5678,30,8.0,7,5,1,6
Jet Airways,Banglore,New Delhi,1590,1,In-flight meal not included,9134,15,8.0,5,45,9,3
Multiple carriers,Delhi,Cochin,440,1,In-flight meal not included,10791,0,19.0,11,40,24,6
Jet Airways,Delhi,Cochin,810,2,No info,12819,35,12.0,23,5,24,6
IndiGo,Delhi,Cochin,300,1,No info,6893,5,10.0,5,5,21,3
Vistara,Banglore,New Delhi,165,0,No info,7240,35,12.0,9,50,9,3
GoAir,Banglore,Delhi,170,0,No info,3898,30,14.0,11,40,3,4
IndiGo,Mumbai,Hyderabad,90,0,No info,4049,55,7.0,6,25,3,4
Jet Airways,Delhi,Cochin,1145,1,In-flight meal not included,10262,35,12.0,17,30,15,6
SpiceJet,Chennai,Kolkata,135,0,No check-in baggage included,3332,35,10.0,8,20,21,3
Jet Airways,Kolkata,Banglore,890,1,In-flight meal not included,10844,0,12.0,21,10,9,6
Jet Airways,Banglore,New Delhi,160,0,No info,7229,35,22.0,19,55,24,3
Jet Airways,Kolkata,Banglore,1330,1,No info,13941,40,4.0,6,30,6,5
IndiGo,Delhi,Cochin,575,1,No info,5894,0,21.0,11,25,27,6
Multiple carriers,Delhi,Cochin,600,1,No info,10197,0,19.0,9,0,18,5
Jet Airways,Banglore,New Delhi,1280,1,In-flight meal not included,13712,25,11.0,14,5,6,3
IndiGo,Delhi,Cochin,325,1,No info,5636,25,7.0,2,0,24,6
Jet Airways,Delhi,Cochin,1125,2,No info,13014,25,4.0,9,40,6,6
Jet Airways,Kolkata,Banglore,740,1,In-flight meal not included,7064,45,20.0,8,25,1,4
Jet Airways,Kolkata,Banglore,1080,1,In-flight meal not included,10703,25,14.0,20,25,24,5
Multiple carriers,Delhi,Cochin,555,1,No info,9646,30,22.0,13,15,27,5
Multiple carriers,Delhi,Cochin,665,1,No info,17057,20,13.0,2,15,6,3
Jet Airways,Banglore,New Delhi,1050,1,No info,13817,25,10.0,16,55,12,3
Air India,Delhi,Cochin,800,2,No info,13748,15,19.0,5,55,6,3
Air India,Kolkata,Banglore,155,0,No info,4880,20,23.0,20,45,21,4
IndiGo,Chennai,Kolkata,145,0,No info,3540,40,7.0,5,15,21,6
SpiceJet,Banglore,Delhi,160,0,No check-in baggage included,3257,35,8.0,5,55,15,5
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,6478,50,22.0,19,50,3,6
Jet Airways,Mumbai,Hyderabad,85,0,No info,8040,30,8.0,7,5,18,6
Jet Airways,Delhi,Cochin,995,2,No info,14300,35,12.0,20,0,12,6
Jet Airways,Kolkata,Banglore,740,1,No info,14781,45,20.0,8,25,15,5
Jet Airways,Kolkata,Banglore,735,1,No info,14939,15,8.0,20,0,9,6
Jet Airways,Delhi,Cochin,450,1,In-flight meal not included,10262,25,4.0,20,55,24,6
Air India,Kolkata,Banglore,1440,1,No info,6528,35,14.0,14,35,12,5
Air India,Banglore,Delhi,165,0,No info,6121,55,8.0,6,10,1,5
Jet Airways,Delhi,Cochin,535,2,In-flight meal not included,13029,25,4.0,19,30,18,5
Multiple carriers,Delhi,Cochin,430,1,No info,11421,50,18.0,11,40,27,3
Multiple carriers,Delhi,Cochin,870,1,No info,7574,15,19.0,4,45,27,3
Air India,Delhi,Cochin,1820,2,No info,11596,15,19.0,12,55,9,5
Jet Airways,Delhi,Cochin,1195,2,No info,15129,0,19.0,23,5,24,5
Jet Airways,Banglore,New Delhi,900,1,No info,13555,5,5.0,14,5,18,3
IndiGo,Banglore,Delhi,175,0,No info,5780,50,21.0,18,55,12,4
Vistara,Kolkata,Banglore,765,1,No info,9397,5,9.0,20,20,12,5
Jet Airways,Delhi,Cochin,610,1,No info,17024,25,4.0,18,15,6,3
GoAir,Delhi,Cochin,355,1,No info,5281,55,12.0,7,0,27,6
Multiple carriers,Delhi,Cochin,925,1,No info,10348,30,22.0,7,5,18,5
Air India,Delhi,Cochin,965,1,No info,12677,25,9.0,17,20,6,3
Multiple carriers,Delhi,Cochin,610,1,No info,15147,35,1.0,15,25,3,3
Vistara,Banglore,Delhi,160,0,No info,4668,40,9.0,7,0,12,6
Jet Airways,Delhi,Cochin,715,1,No info,15554,0,19.0,7,5,9,5
SpiceJet,Banglore,Delhi,160,0,No info,3971,35,8.0,5,55,9,4
Air India,Mumbai,Hyderabad,85,0,No info,3100,25,16.0,15,0,3,5
Jet Airways,Kolkata,Banglore,845,1,In-flight meal not included,9663,5,10.0,20,0,6,5
Air India,Delhi,Cochin,1215,1,No info,27430,15,19.0,23,0,1,3
IndiGo,Chennai,Kolkata,145,0,No info,3540,40,7.0,5,15,12,5
Air India,Kolkata,Banglore,1390,2,No info,10676,10,11.0,12,0,21,5
Jet Airways,Kolkata,Banglore,1090,1,No info,13044,15,8.0,14,5,12,6
Jet Airways,Kolkata,Banglore,960,1,No info,14388,0,12.0,20,0,6,5
IndiGo,Banglore,Delhi,170,0,No info,3943,50,6.0,4,0,24,6
IndiGo,Chennai,Kolkata,140,0,No info,3597,5,17.0,14,45,3,6
Air India,Banglore,New Delhi,480,1,No info,5932,50,19.0,11,50,21,3
Jet Airways,Delhi,Cochin,1015,1,In-flight meal not included,10262,25,4.0,11,30,15,6
Vistara,Delhi,Cochin,190,0,No info,6216,50,17.0,14,40,12,5
IndiGo,Kolkata,Banglore,165,0,No info,4804,10,23.0,20,25,15,6
Multiple carriers,Delhi,Cochin,840,1,No info,14067,30,1.0,11,30,21,5
Jet Airways,Delhi,Cochin,1430,2,No info,15129,0,19.0,19,10,18,5
Jet Airways,Delhi,Cochin,1300,2,No info,13376,25,4.0,6,45,6,6
Air India,Delhi,Cochin,1275,2,No info,10441,15,19.0,22,0,27,6
Jet Airways,Banglore,Delhi,165,0,In-flight meal not included,4030,45,8.0,6,0,24,5
Jet Airways,Delhi,Cochin,650,1,No info,17024,50,18.0,8,0,3,3
Multiple carriers,Delhi,Cochin,480,1,No info,13017,30,1.0,17,30,9,4
GoAir,Kolkata,Banglore,495,1,No info,6686,45,7.0,23,30,6,6
IndiGo,Delhi,Cochin,325,1,No info,5636,25,7.0,2,0,15,6
IndiGo,Delhi,Cochin,515,1,No info,6442,10,16.0,7,35,9,6
Multiple carriers,Delhi,Cochin,710,1,No info,9486,55,0.0,13,5,21,5
Jet Airways,Kolkata,Banglore,1655,1,In-flight meal not included,10844,35,23.0,20,0,21,5
Jet Airways,Delhi,Cochin,505,2,In-flight meal not included,15318,25,4.0,20,0,3,6
Air India,Delhi,Cochin,1255,1,No info,5117,25,9.0,12,30,3,4
IndiGo,Delhi,Cochin,290,1,No info,6147,0,20.0,15,10,24,6
Multiple carriers,Delhi,Cochin,490,1,No info,7005,0,21.0,12,50,9,6
SpiceJet,Kolkata,Banglore,140,0,No info,3873,40,0.0,22,20,3,4
Jet Airways,Delhi,Cochin,1465,2,In-flight meal not included,9270,50,18.0,18,25,21,3
GoAir,Banglore,Delhi,170,0,No info,3898,30,14.0,11,40,27,6
Jet Airways,Kolkata,Banglore,740,1,No info,14781,45,20.0,8,25,12,5
Jet Airways,Kolkata,Banglore,735,1,In-flight meal not included,8586,15,8.0,20,0,24,5
Air India,Kolkata,Banglore,1415,2,No info,10697,55,7.0,8,20,9,5
Jet Airways,Delhi,Cochin,995,2,No info,14300,35,12.0,20,0,27,6
IndiGo,Banglore,New Delhi,170,0,No info,8855,45,21.0,18,55,3,3
Jet Airways,Kolkata,Banglore,1545,1,In-flight meal not included,10844,15,18.0,16,30,12,5
Jet Airways,Delhi,Cochin,1570,1,No info,17024,25,4.0,2,15,6,3
Jet Airways,Kolkata,Banglore,1730,1,In-flight meal not included,9314,25,14.0,9,35,1,5
IndiGo,Banglore,New Delhi,165,0,No info,4777,25,3.0,0,40,24,3
Air India,Kolkata,Banglore,1515,1,No info,7662,15,13.0,12,0,9,6
IndiGo,Delhi,Cochin,560,1,No info,6442,10,16.0,6,50,9,5
SpiceJet,Delhi,Cochin,270,1,No info,5264,15,13.0,8,45,12,6
Jet Airways,Delhi,Cochin,925,1,In-flight meal not included,12898,25,4.0,13,0,27,5
Air India,Mumbai,Hyderabad,90,0,No info,6092,25,15.0,13,55,3,3
SpiceJet,Banglore,Delhi,160,0,No info,3311,35,8.0,5,55,21,5
Jet Airways,Delhi,Cochin,550,1,In-flight meal not included,6540,25,4.0,19,15,27,3
IndiGo,Banglore,Delhi,165,0,No info,3419,15,4.0,1,30,27,5
Jet Airways,Delhi,Cochin,1355,1,In-flight meal not included,5177,35,12.0,14,0,3,4
Air India,Delhi,Cochin,185,0,No info,8246,10,21.0,18,5,18,4
Jet Airways,Kolkata,Banglore,690,1,No info,14676,5,21.0,9,35,9,6
Multiple carriers,Delhi,Cochin,570,1,No info,13587,0,21.0,11,30,27,6
Jet Airways,Kolkata,Banglore,730,1,In-flight meal not included,9663,20,9.0,21,10,6,5
Jet Airways,Kolkata,Banglore,1055,1,No info,13044,5,10.0,16,30,12,6
IndiGo,Delhi,Cochin,305,1,No info,5073,30,1.0,20,25,3,4
Vistara,Kolkata,Banglore,1550,1,No info,9345,50,18.0,17,0,21,5
Jet Airways,Kolkata,Banglore,1200,1,In-flight meal not included,9663,5,10.0,14,5,6,5
Multiple carriers,Delhi,Cochin,780,1,No info,14277,0,21.0,8,0,21,5
Jet Airways,Delhi,Cochin,1105,1,In-flight meal not included,10262,25,4.0,10,0,1,6
Jet Airways,Mumbai,Hyderabad,90,0,No info,5678,5,21.0,19,35,27,3
Multiple carriers,Delhi,Cochin,570,1,No info,13727,30,1.0,16,0,15,5
Jet Airways,Kolkata,Banglore,960,1,In-flight meal not included,9663,0,12.0,20,0,6,5
IndiGo,Chennai,Kolkata,140,0,No info,3858,5,17.0,14,45,12,5
SpiceJet,Delhi,Cochin,270,1,No info,4812,15,13.0,8,45,24,6
IndiGo,Delhi,Cochin,345,1,No info,5775,35,3.0,21,50,27,6
Jet Airways,Kolkata,Banglore,1450,1,In-flight meal not included,10539,45,9.0,9,35,6,6
IndiGo,Kolkata,Banglore,155,0,No info,4804,5,18.0,15,30,3,6
Air Asia,Banglore,Delhi,165,0,No info,3383,55,13.0,11,10,12,6
IndiGo,Banglore,New Delhi,295,1,No info,8738,5,17.0,12,10,3,3
Air India,Delhi,Cochin,1535,1,No info,7165,50,6.0,5,15,27,3
IndiGo,Delhi,Cochin,380,1,No info,6412,30,22.0,16,10,24,6
Jet Airways,Banglore,Delhi,185,0,No info,8016,0,22.0,18,55,27,6
Jet Airways,Banglore,New Delhi,1120,1,In-flight meal not included,11087,15,15.0,20,35,12,3
SpiceJet,Chennai,Kolkata,135,0,No check-in baggage included,3543,0,12.0,9,45,27,6
Jet Airways,Kolkata,Banglore,730,1,No info,12471,40,4.0,16,30,12,6
Jet Airways,Delhi,Cochin,1165,1,In-flight meal not included,10262,25,4.0,9,0,24,6
Air India,Banglore,New Delhi,170,0,No info,4441,10,16.0,13,20,18,3
Multiple carriers,Delhi,Cochin,505,1,No info,12537,30,15.0,7,5,27,3
